date,forecast_price,crypto,model
429,38787.24532610441,BTC,ARIMA
430,38760.93714967727,BTC,ARIMA
431,38778.639840904805,BTC,ARIMA
432,38766.72775427404,BTC,ARIMA
433,38774.74336083211,BTC,ARIMA
434,38769.349683764,BTC,ARIMA
435,38772.97907252009,BTC,ARIMA
436,38770.53686795788,BTC,ARIMA
437,38772.18021991726,BTC,ARIMA
438,38771.07441342415,BTC,ARIMA
439,38771.818507221724,BTC,ARIMA
440,38771.31780878756,BTC,ARIMA
441,38771.654727228204,BTC,ARIMA
442,38771.42801584286,BTC,ARIMA
443,38771.58056923871,BTC,ARIMA
444,38771.47791652654,BTC,ARIMA
445,38771.54699122171,BTC,ARIMA
446,38771.500511071186,BTC,ARIMA
447,38771.53178742191,BTC,ARIMA
448,38771.510741661434,BTC,ARIMA
449,38771.52490328911,BTC,ARIMA
450,38771.515373973285,BTC,ARIMA
451,38771.52178622068,BTC,ARIMA
452,38771.517471439074,BTC,ARIMA
453,38771.52037484238,BTC,ARIMA
454,38771.5184211512,BTC,ARIMA
455,38771.51973578401,BTC,ARIMA
456,38771.518851171626,BTC,ARIMA
457,38771.51944642459,BTC,ARIMA
458,38771.5190458807,BTC,ARIMA
429,2627.8410449936405,ETH,ARIMA
430,2626.007933263157,ETH,ARIMA
431,2626.2127760935555,ETH,ARIMA
432,2626.1898857347915,ETH,ARIMA
433,2626.19244363991,ETH,ARIMA
434,2626.1921578043466,ETH,ARIMA
435,2626.192189745316,ETH,ARIMA
436,2626.192186176042,ETH,ARIMA
437,2626.192186574894,ETH,ARIMA
438,2626.192186530324,ETH,ARIMA
439,2626.1921865353042,ETH,ARIMA
440,2626.1921865347476,ETH,ARIMA
441,2626.19218653481,ETH,ARIMA
442,2626.192186534803,ETH,ARIMA
443,2626.192186534804,ETH,ARIMA
444,2626.192186534804,ETH,ARIMA
445,2626.192186534804,ETH,ARIMA
446,2626.192186534804,ETH,ARIMA
447,2626.192186534804,ETH,ARIMA
448,2626.192186534804,ETH,ARIMA
449,2626.192186534804,ETH,ARIMA
450,2626.192186534804,ETH,ARIMA
451,2626.192186534804,ETH,ARIMA
452,2626.192186534804,ETH,ARIMA
453,2626.192186534804,ETH,ARIMA
454,2626.192186534804,ETH,ARIMA
455,2626.192186534804,ETH,ARIMA
456,2626.192186534804,ETH,ARIMA
457,2626.192186534804,ETH,ARIMA
458,2626.192186534804,ETH,ARIMA
429,39307.888947396306,BTC,SARIMA
430,39965.32196313683,BTC,SARIMA
431,40033.61695000142,BTC,SARIMA
432,40408.73179786026,BTC,SARIMA
433,40406.16448045727,BTC,SARIMA
434,40499.04100053487,BTC,SARIMA
435,40823.601797347226,BTC,SARIMA
436,40637.26944988396,BTC,SARIMA
437,40059.08579352419,BTC,SARIMA
438,40196.37202123377,BTC,SARIMA
439,39804.40643523545,BTC,SARIMA
440,39734.077799624814,BTC,SARIMA
441,39820.17419827646,BTC,SARIMA
442,39576.214981610945,BTC,SARIMA
443,38367.695704655795,BTC,SARIMA
444,37976.08714837917,BTC,SARIMA
445,38240.62708728281,BTC,SARIMA
446,37234.02564490136,BTC,SARIMA
447,36986.57996872802,BTC,SARIMA
448,37591.9130556088,BTC,SARIMA
449,37347.23807956293,BTC,SARIMA
450,38094.613953510845,BTC,SARIMA
451,38545.80543054778,BTC,SARIMA
452,38506.82641607235,BTC,SARIMA
453,38229.03243120907,BTC,SARIMA
454,39965.57841150647,BTC,SARIMA
455,40216.79078719235,BTC,SARIMA
456,40528.72878444369,BTC,SARIMA
457,40122.928283681154,BTC,SARIMA
458,38888.92763783779,BTC,SARIMA
429,2626.205781914639,ETH,SARIMA
430,2635.345960652064,ETH,SARIMA
431,2634.592739337254,ETH,SARIMA
432,2617.3040691056335,ETH,SARIMA
433,2578.026799284274,ETH,SARIMA
434,2598.8403505333163,ETH,SARIMA
435,2630.1671699197423,ETH,SARIMA
436,2607.9806399561235,ETH,SARIMA
437,2550.3929182042125,ETH,SARIMA
438,2553.292946109014,ETH,SARIMA
439,2490.621297115588,ETH,SARIMA
440,2485.8374107238424,ETH,SARIMA
441,2478.4376110968838,ETH,SARIMA
442,2449.059635961093,ETH,SARIMA
443,2391.0362614159135,ETH,SARIMA
444,2400.6156109710414,ETH,SARIMA
445,2429.6928105266534,ETH,SARIMA
446,2385.143738400713,ETH,SARIMA
447,2367.284729186785,ETH,SARIMA
448,2387.3968592460365,ETH,SARIMA
449,2394.964661038142,ETH,SARIMA
450,2390.1544681161286,ETH,SARIMA
451,2465.2650574045338,ETH,SARIMA
452,2483.9966557259795,ETH,SARIMA
453,2538.346448250257,ETH,SARIMA
454,2659.7032097505767,ETH,SARIMA
455,2680.6165495726154,ETH,SARIMA
456,2731.111503880021,ETH,SARIMA
457,2720.0095815805607,ETH,SARIMA
458,2709.9539118828206,ETH,SARIMA
